"PO Report FY2013",,,,,
"Please note that this report contains individual line items for each purchase order.",,,,,
,,,,,
"PO Number","Agency","Commodity","Vendor Name","Ordered DAte","PO amount"
"PO322181-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9105200:Maintenance Services, Building (Not Otherwise Classified)","SPECTRUM MANAGEMENT, LLC",25-Sep-12,"85,561.00"
"PO322624-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","SMITH GROUP MIDATLANTIC",25-Sep-12,"26,875.84"
"PO323218-V2","DC PUBLIC LIBRARY","9183100:Construction Consulting","LYNCH DEVELOPMENT PARTNERS LLC",18-Oct-12,0
"PO323263-V2","DEPARTMENT OF TRANSPORTATION","9253300:Engineer Services, Professional","ATHAVALE, LYSTAD & ASSOCIATES",31-Dec-12,"123,251.68"
"PO323753-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9461500:Appraisal Services, Real Estate","HARPS & HARPS, INC",27-Sep-13,"11,000.00"
"PO324432-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","MACTEC ENGINEERING & CONSULTIN",27-Sep-13,"15,043.76"
"PO324940-V2","DEPARTMENT OF TRANSPORTATION","9064640:DESIGN SERVICES, HIGHWAY TRAFFIC","KCI ASSOCIATES OF DC",9-Mar-13,"317,361.82"
"PO327119-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","FORT MYER CONSTRUCTION CORPORA",27-Sep-13,"125,000.00"
"PO327380-V2","DEPARTMENT OF GENERAL SERVICES","9253100:Electrical Engineering","DANIEL, MANN, JOHNSON & MENDEN",3-Jan-13,"96,550.00"
"PO329626-V2","DEPARTMENT OF TRANSPORTATION","9688880:TREE REMOVAL SERVICES WITH OBSTACLES, INCLUDES THE CUTTING, GRUBBING, REMOVAL AND DISPOSAL OF TREES AND STUMPS.","DAVEY TREE EXPERT COMPANY",7-Sep-12,"42,142.00"
"PO330524-V4","DC PUBLIC LIBRARY","9143030:CONSTRUCTION SERVICES, CONCRETE (NEW CONSTRUCTION)","BAKER DC, LLC",18-Mar-13,"501,058.00"
"PO330524-V4","DC PUBLIC LIBRARY","9145500:Masonry","BAKER DC, LLC",18-Mar-13,"13,841.00"
"PO330867-V5","DC PUBLIC LIBRARY","9147300:Roofing and Siding","HR GENERAL MAINTENANCE CORP",18-Jun-13,"221,181.00"
"PO330871-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","Hoffman - Struever Waterfront",25-Sep-12,"914,768.00"
"PO331330-V2","DEPARTMENT OF TRANSPORTATION","9189450:TRAFFIC AND SAFETY CONSULTING","Howard University the Learning Academy",24-Oct-12,"244,190.62"
"PO331472-V6","OFFICE OF CHIEF FINANCIAL OFFICER","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","CIBER, Inc.",26-Apr-13,"9,414,268.73"
"PO331472-V6","OFFICE OF CHIEF FINANCIAL OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","CIBER, Inc.",26-Apr-13,"947,152.00"
"PO331707-V6","DC PUBLIC LIBRARY","9124000:Demolition Services","COAKLEY & WILLIAMS CONST.",22-Apr-13,"231,348.11"
"PO331707-V6","DC PUBLIC LIBRARY","9107100:Shoring and Reinforcement Services","COAKLEY & WILLIAMS CONST.",22-Apr-13,"435,865.52"
"PO331707-V6","DC PUBLIC LIBRARY","9120000:CONSTRUCTION SERVICES, GENERAL","COAKLEY & WILLIAMS CONST.",22-Apr-13,"13,054,322.60"
"PO331707-V6","DC PUBLIC LIBRARY","9582600:Construction Management Services","COAKLEY & WILLIAMS CONST.",22-Apr-13,"13,150.25"
"PO331707-V6","DC PUBLIC LIBRARY","9145000:Heating, Ventilating and Air Conditioning (HVAC)","COAKLEY & WILLIAMS CONST.",22-Apr-13,"100,121.25"
"PO331707-V6","DC PUBLIC LIBRARY","9142700:Carpentry","COAKLEY & WILLIAMS CONST.",22-Apr-13,"22,074.18"
"PO331707-V6","DC PUBLIC LIBRARY","9077500:Site Assessment and Site Field Observation","COAKLEY & WILLIAMS CONST.",22-Apr-13,"33,494.91"
"PO332844-V2","DC PUBLIC LIBRARY","9144400:Flooring","MUFTI INTERNATIONAL INC",15-Feb-13,"236,952.00"
"PO333045-V4","DC PUBLIC LIBRARY","1504900:Millwork: Counters, Custom-Made Cabinets, Shelves, Stairs, etc.","GCS/SIGAL, LLC",5-Nov-12,"953,504.15"
"PO333381-V2","DC PUBLIC LIBRARY","9097600:Site Work (Incl. Site Clean-Up)","JOSEPH J. MAGNOLIA, INC.",26-Apr-13,"733,624.01"
"PO334025-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","Van Ness Feldman",27-Sep-13,"93,177.50"
"PO334026-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","Van Ness Feldman",27-Sep-13,"120,061.00"
"PO335108-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","SPECTRUM MANAGEMENT, LLC",27-Sep-13,"19,125.00"
"PO336263-V3","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9589600:Waste Management Services","Complete Solutions, LLC",27-Sep-12,"14,880.00"
"PO336423-V3","DC PUBLIC LIBRARY","9060200:Acoustics; Noise Abatement - Architectural Services","THE FREELON GROUP, INC",10-May-13,"2,760.00"
"PO336423-V3","DC PUBLIC LIBRARY","9060700:Architect Services, Professional","THE FREELON GROUP, INC",10-May-13,"131,625.39"
"PO336490-V4","DC PUBLIC LIBRARY","9063800:General Construction - Architectural","KEYSTONE PLUS CONSTRUCTION COR",4-Sep-12,"129,486.00"
"PO336490-V4","DC PUBLIC LIBRARY","9097600:Site Work (Incl. Site Clean-Up)","KEYSTONE PLUS CONSTRUCTION COR",4-Sep-12,"389,864.00"
"PO337661-V2","OFFICE OF CHIEF FINANCIAL OFFICER","6003020:CASH DRAWERS","N. Harris Computer Corporation",23-May-13,"109,260.00"
"PO341318-V2","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","FILNET INC",26-Oct-12,"51,240.00"
"PO341674-V6","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",11-Sep-12,"95,386.14"
"PO343123-V9","DEPARTMENT OF GENERAL SERVICES","9090000:BUILDING CONSTRUCTION SERVICES, NEW","FIDELITY AND DEPOSIT",29-Jan-13,"380,822.00"
"PO343123-V9","DEPARTMENT OF GENERAL SERVICES","9092400:Building Construction, Commercial and Institutional","FIDELITY AND DEPOSIT",29-Jan-13,"3,861,221.02"
"PO343929-V5","CHILD AND FAMILY SERVICES","9625800:Professional Services (Not Otherwise Classified)","CENTER FOR ADOPTION SUPPORT",9-May-13,"177,818.56"
"PO343929-V5","CHILD AND FAMILY SERVICES","9488600:Therapy and Rehabilitation Services","CENTER FOR ADOPTION SUPPORT",9-May-13,"49,900.00"
"PO344723-V3","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"238,705.38"
"PO344724-V2","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"224,704.44"
"PO344732-V4","DEPARTMENT OF TRANSPORTATION","9613200:Environmental Impact Studies","HDR Engineering Inc.",6-Aug-13,"1,189,298.00"
"PO345298-V2","COMMISSION ON ARTS & HUMANITIES","9620700:Arts Services (Cultural, Design, Visual, etc.)","DAVID HESS:HESS INDUSTRIES LLC",9-Nov-12,"333,000.00"
"PO346805-V5","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",20-Sep-12,"161,347.20"
"PO347424-V3","DC PUBLIC LIBRARY","9145500:Masonry","RUGO STONE, LLC",6-Dec-12,"432,638.00"
"PO347952-V2","DEPARTMENT OF TRANSPORTATION","9139500:Paving/Resurfacing, Highway and Road","FMC CIVIL CONSTRUCTION, LLC",18-Jan-13,"6,770,742.97"
"PO348232-V3","DEPARTMENT OF MENTAL HEALTH","4756900:Pharmaceutical Equipment and Supplies (Not Otherwise Classified)","CareFusion Solutions, LLC",28-Jun-13,"421,190.00"
"PO350094-V2","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"80,110.92"
"PO350098-V3","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"642,324.32"
"PO350335-V2","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",12-Sep-12,"25,435.68"
"PO350507-V2","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"78,235.52"
"PO350836-V3","OFFICE OF CHIEF TECHNOLOGY OFFICER","9183000:Computer Network Consulting","OST, Inc.",12-Sep-12,"35,630.84"
"PO350837-V2","OFFICE OF CHIEF TECHNOLOGY OFFICER","9183000:Computer Network Consulting","OST, Inc.",27-Nov-12,"43,938.30"
"PO351799-V3","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",10-Sep-12,"143,899.56"
"PO353245-V2","DEPARTMENT OF TRANSPORTATION","9189600:Transportation Consulting","HDR Engineering Inc.",10-Oct-12,"179,777.62"
"PO353895-V3","DEPARTMENT OF HEALTH","9625800:Professional Services (Not Otherwise Classified)","HOWARD UNIVERSITY HOSPITAL",3-Jan-13,"812,500.00"
"PO353951-V3","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"80,207.76"
"PO354682-V2","OFFICE OF CHIEF TECHNOLOGY OFFICER","9203300:Mapping Services, Digitized, Cartography (See 962-52 for Standard Mapping Services)","A MORTON THOMAS & ASSOCIATES",8-Sep-12,"33,720.00"
"PO355589-V4","OFFICE OF CHIEF TECHNOLOGY OFFICER","9157900:Telecommunication Services (Not Otherwise Classified)","SAIC, Inc.",15-Jul-13,"700,569.22"
"PO355971-V3","OFFICE OF CHIEF TECHNOLOGY OFFICER","9157900:Telecommunication Services (Not Otherwise Classified)","SAIC, Inc.",21-May-13,"552,769.33"
"PO356896-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9614900:Legal Services, Attorneys","ORRICK HERRINGTON SUTCLIFFE LP",27-Sep-13,"98,000.00"
"PO358006-V3","DEPARTMENT OF GENERAL SERVICES","9060700:Architect Services, Professional","Studio27 Architecture/Leo A Da",20-Jun-13,"749,738.00"
"PO358154-V2","OFFICE OF MUNICIPAL PLANNING","9066400:Planning, Urban (Community, Regional, Areawide, and State)","Ayers/Saint/Gross Incorporated",9-Jul-13,"564,006.24"
"PO358705-V2","DC PUBLIC LIBRARY","9619400:Zoning, Land Use Studies","ARENT FOX KINTNER PLOTKIN",11-Mar-13,"162,996.29"
"PO359197-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","FORT MYER CONSTRUCTION CORPORA",27-Sep-13,"149,442.50"
"PO359668-V4","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"821,125.03"
"PO361336-V5","DEPARTMENT OF GENERAL SERVICES","9060700:Architect Services, Professional","STV INC",9-May-13,"883,945.00"
"PO361393-V3","DC PUBLIC LIBRARY","9614900:Legal Services, Attorneys","ARENT FOX KINTNER PLOTKIN",11-Mar-13,"49,740.24"
"PO361486-V2","DC PUBLIC LIBRARY","9181500:Architectural Consulting","THE FREELON GROUP, INC",6-Jun-13,"347,084.03"
"PO361600-V3","DC PUBLIC LIBRARY","9363300:Fire Protection Equipment and Systems Including Fire Hydrants, Fire Sprinkler Systems, Smoke Detectors, Jaws of Life, Fire Protection Material Treatment, etc. Maintenance and Repair","HAISLIP CORPORATION",20-Feb-13,"2,103.25"
"PO361661-V6","DEPARTMENT OF GENERAL SERVICES","9092300:Building Construction, Residential (Apartments, etc.)","PADULA CONSTRUCTION CO INC",10-Oct-12,"2,031,100.00"
"PO361661-V6","DEPARTMENT OF GENERAL SERVICES","9610000:MISCELLANEOUS SERVICES, NO. 1","PADULA CONSTRUCTION CO INC",10-Oct-12,"194,445.00"
"PO361661-V6","DEPARTMENT OF GENERAL SERVICES","9063800:General Construction - Architectural","PADULA CONSTRUCTION CO INC",10-Oct-12,"71,080.00"
"PO362454-V2","DEPT. OF CONSUMER AND REGULATORY AFFAIRS","6003850:COPIERS, COLOR, NEW","XEROX CORPORATION",21-Sep-12,"27,833.82"
"PO362467-V4","DEPARTMENT OF GENERAL SERVICES","9092300:Building Construction, Residential (Apartments, etc.)","NASTOS CONTRUCTION INC",6-Jun-13,"1,413,853.53"
"PO362727-V2","DEPARTMENT OF HEALTH","9625800:Professional Services (Not Otherwise Classified)","PROVIDENCE HEALTH FOUNDATION",9-Sep-13,"216,375.00"
"PO363477-V3","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",22-Apr-13,"56,047.20"
"PO363478-V3","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",26-Feb-13,"36,238.40"
"PO363593-V2","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"167,037.71"
"PO363594-V4","DEPARTMENT OF TRANSPORTATION","9589100:Transit Management Services","HDR Engineering Inc.",21-Aug-13,"108,174.13"
"PO363601-V3","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",26-Feb-13,"25,150.73"
"PO363602-V2","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",26-Feb-13,"17,986.96"
"PO363679-V3","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",26-Feb-13,"47,601.36"
"PO364135-V3","OFFICE OF CHIEF FINANCIAL OFFICER","9090300:Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.","PARADYME MANAGEMENT, INC.",5-Dec-12,"577,173.25"
"PO364321-V4","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",25-Feb-13,"26,866.40"
"PO364445-V6","OFFICE OF CHIEF FINANCIAL OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","BAZILIO COBB ASSOCIATES ,PC",31-May-13,"2,023,765.86"
"PO364586-V5","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",24-Sep-12,"51,753.60"
"PO364610-V3","DC PUBLIC LIBRARY","7255400:Security Systems and Equipment, Communications","ADT SECURITY SERVICES",11-Sep-12,"130,837.00"
"PO364612-V2","DEPARTMENT OF GENERAL SERVICES","9581500:Building and Facilities Management Services","UNITED SITE SERVICES OF MD INC",20-Nov-12,"8,000.00"
"PO365003-V5","OFFICE OF CHIEF FINANCIAL OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","OST, Inc.",19-Nov-12,"87,487.28"
"PO365006-V5","OFFICE OF CHIEF FINANCIAL OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","OST, Inc.",19-Nov-12,"326,161.44"
"PO365007-V5","OFFICE OF CHIEF FINANCIAL OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","OST, Inc.",21-Nov-12,"361,645.00"
"PO365979-V2","DISTRICT DEPARTMENT OF THE ENVIRONMENT","9264200:Environmental Services (Not Otherwise Classified)","ALLIANCE FOR CHESAPEAKE BAY, I",13-Jun-13,"24,814.24"
"PO366083-V3","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","MCKISSACK & MCKISSACK OF WASH",27-Sep-13,"24,248.16"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","0801010:ACCESSORIES, I.D. CARD","ITC SYSTEMS USA INC",8-Jan-13,"2,750.00"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","2102623:BLOCKS, CORNER, CONCRETE","ITC SYSTEMS USA INC",8-Jan-13,"1,440.00"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","2081010:SOFTWARE, MICRO, ACCOUNTING, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED","ITC SYSTEMS USA INC",8-Jan-13,"5,248.00"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","9201850:LICENSE, COMPUTER-AIDED DESIGN SOFTWARE","ITC SYSTEMS USA INC",8-Jan-13,100
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","ITC SYSTEMS USA INC",8-Jan-13,"1,070.00"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","2044856:KEYPAD, NUMERIC, DETACHABLE","ITC SYSTEMS USA INC",8-Jan-13,225
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","9655400:Negative and Plate Preparation for Offset Printing","ITC SYSTEMS USA INC",8-Jan-13,225
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","6003064:REGISTERS, CASH","ITC SYSTEMS USA INC",8-Jan-13,"16,770.00"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","ITC SYSTEMS USA INC",8-Jan-13,"5,625.00"
"PO366100-V3","DEPARTMENT OF MENTAL HEALTH","2049036:DATA COLLECTOR AND SCANNER, PORTABLE","ITC SYSTEMS USA INC",8-Jan-13,960
"PO366294-V6","EQUIPMENT LEASE - CAPITAL","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",11-Oct-12,"196,302.07"
